"gene","drug","approved","score","interaction_types","sources"
"FLT3","LUXEPTINIB",FALSE,0.118151762261792,"","CKB-CORE"
"FLT3","ABIVERTINIB",FALSE,0.118151762261792,"","CKB-CORE"
"FLT3","(+)-JQ1",FALSE,0.0945214098094334,"","CIViC"
"FLT3","COMPOUND 18E [PMID: 31670517]",FALSE,0.0590758811308959,"inhibitor","GuideToPharmacology"
"FLT3","COMPOUND 1 [CRUZ-L&OACUTE;PEZ ET AL., 2019]",FALSE,0.118151762261792,"inhibitor","GuideToPharmacology"
"FLT3","GW843682X",FALSE,0.00605906473137394,"","DTC"
"FLT3","FLT-3 INHIBITOR III",FALSE,0.236303524523584,"inhibitor","GuideToPharmacology"
"FLT3","FF-10101",FALSE,0.315071366031445,"inhibitor","ChEMBL; CKB-CORE"
"FLT3","FEDRATINIB HYDROCHLORIDE",TRUE,0.118151762261792,"inhibitor","ChEMBL"
"FLT3","IMC-EB10",FALSE,0.236303524523584,"inhibitor","ChEMBL"
"FLT3","METHOTREXATE",TRUE,0.0041456758688348,"","CKB-CORE"
"FLT3","DAUNORUBICIN HYDROCHLORIDE",TRUE,0.0393839207539306,"","NCI"
"FLT3","ENTRECTINIB",TRUE,0.0041456758688348,"","DTC"
"FLT3","COMPOUND 34F [PMID: 37535845]",FALSE,0.236303524523584,"inhibitor","GuideToPharmacology"
"FLT3","DENFIVONTINIB",FALSE,0.118151762261792,"inhibitor","GuideToPharmacology"
"FLT3","RGB-286638",FALSE,0.0181771941941218,"inhibitor","GuideToPharmacology"
"FLT3","CYTARABINE",TRUE,0.0371713409362941,"","CKB-CORE"
"FLT3","DECITABINE",TRUE,0.0196919603769653,"","CKB-CORE"
"FLT3","BRIGATINIB",TRUE,0.0525118943385741,"","CKB-CORE"
"FLT3","MIVAVOTINIB",FALSE,0.0472607049047167,"inhibitor","GuideToPharmacology"
"FLT3","SITRAVATINIB",FALSE,0.0506364695407679,"inhibitor","GuideToPharmacology; CKB-CORE"
"FLT3","GSK269962A",FALSE,0.00513703314181703,"","DTC"
"FLT3","CYC-116",FALSE,0.00243611880952148,"","DTC"
"FLT3","TYRPHOSTIN AG 1295",FALSE,0.472607049047167,"","CIViC"
"FLT3","GELDANAMYCIN",FALSE,0.0644464157791592,"","NCI"
"FLT3","QUIZARTINIB DIHYDROCHLORIDE",TRUE,0.236303524523584,"inhibitor","ChEMBL"
"FLT3","AGL 2043",FALSE,0.118151762261792,"","CKB-CORE"
"FLT3","URMC-099",FALSE,0.0262559471692871,"inhibitor","GuideToPharmacology"
"FLT3","JNJ-28312141",FALSE,0.0472607049047167,"inhibitor","GuideToPharmacology"
"FLT3","GMI-1359",FALSE,0.0787678415078612,"","CKB-CORE"
"FLT3","PEXIDARTINIB",TRUE,0.0787678415078612,"inhibitor","ChEMBL"
"FLT3","ENTOSPLETINIB",FALSE,0.315071366031445,"","CKB-CORE"
"FLT3","ONVANSERTIB",FALSE,0.0472607049047167,"inhibitor","GuideToPharmacology"
"FLT3","HERBIMYCIN",FALSE,0.0590758811308959,"","NCI"
"FLT3","COMPOUND 8H [PMID: 22765894]",FALSE,0.021482138593053,"inhibitor","GuideToPharmacology"
"FLT3","BAY-985",FALSE,0.0472607049047167,"inhibitor","GuideToPharmacology"
"FLT3","PF-04691502",FALSE,0.0787678415078612,"","CKB-CORE"
"FLT3","NINGETINIB",FALSE,0.708910573570751,"","CIViC; CKB-CORE"
"FLT3","RUXOLITINIB",TRUE,0.0363543883882436,"","CKB-CORE"
"FLT3","COMPOUND 8I [PMID: 22765894]",FALSE,0.0196919603769653,"inhibitor","GuideToPharmacology"
"FLT3","FMS-RELATED TYROSINE KINASE 3 LIGAND",FALSE,0.236303524523584,"","GuideToPharmacology"
"FLT3","REVUMENIB",TRUE,0.157535683015722,"","CKB-CORE"
"FLT3","CDX-301",FALSE,0.236303524523584,"agonist","ChEMBL"
"FLT3","SORAFENIB",TRUE,0.172501572902216,"inhibitor; inhibitor","TALC; MyCancerGenomeClinicalTrial; TEND; DoCM; PharmGKB; GuideToPharmacology; OncoKB; NCI; CGI; COSMIC; TdgClinicalTrial; CIViC; CKB-CORE"
"FLT3","TANDUTINIB",FALSE,0.0708910573570751,"inhibitor","ChEMBL; DTC"
"FLT3","EUPATORIN",FALSE,0.0393839207539306,"inhibitor","GuideToPharmacology"
"FLT3","OLAPARIB",TRUE,0.0107410692965265,"","CKB-CORE"
"FLT3","FLT3/CDK4/6 INHIBITOR FLX925",FALSE,0.236303524523584,"","CKB-CORE"
"FLT3","XL-999",FALSE,0.021482138593053,"inhibitor","ChEMBL"
"FLT3","TIRBANIBULIN",TRUE,0.177227643392688,"","CIViC; CKB-CORE"
"FLT3","TUSPETINIB",FALSE,0.236303524523584,"","CKB-CORE"
"FLT3","RECOMBINANT TRANSFORMING GROWTH FACTOR",FALSE,0.021482138593053,"","NCI"
"FLT3","FORETINIB",FALSE,0.0472607049047167,"inhibitor","ChEMBL; CKB-CORE"
"FLT3","DOXORUBICIN HYDROCHLORIDE",TRUE,0.00284703041594679,"","CKB-CORE"
"FLT3","CLIFUTINIB",FALSE,0.236303524523584,"inhibitor","GuideToPharmacology"
"FLT3","BEROTERKIB ANHYDROUS",FALSE,0.157535683015722,"","CKB-CORE"
