"gene","stat"
"AC022167.3",1.7943844159556
"GEMIN8",1.79428360261554
"AC092902.4",1.79227711893426
"PLCXD2",1.79198344653042
"MYO6",1.79165745872223
"TTC39C-AS1",1.79140872931015
"C4BPA",1.79125867643873
"MINDY3",1.78874276040693
"OBI1",1.7880598485895
"ZGPAT",1.7880336057959
"TRAV3",1.78535516547732
"GARS",1.78506900334486
"GON4L",1.78258125036426
"AL645608.1",1.78165036708566
"NCAPH2",1.78157237400763
"CHPF",1.78134786227153
"RC3H2",1.78017146072653
"CTCF",1.77771659040286
"MED8",1.77462872706144
"IGHV3-53",1.77362103823829
"AC005400.1",1.77324350905774
"CDYL2",1.77233552160744
"TRAV13-1",1.76761981043913
"SEMA4G",1.76660615702226
"GPX7",1.76628086986294
"MCM9",1.76569012910923
"MME",1.76462948663023
"NCDN",1.76372276921907
"AFG3L2",1.76369385248669
"CHRNB1",1.7626736550482
"PDIK1L",1.76236581932504
"MRPL38",1.76160537428535
"EXOSC10",1.76148751775742
"IFT22",1.75919275522107
"MAPK11",1.75814431976395
"GSPT1",1.75761081696258
"USP33",1.75735540319983
"LGR4",1.7570161214071
"CD58",1.75473433244968
"ANKS3",1.75449006386646
"LSM8",1.75400441218066
"MED20",1.75292242826362
"HIST1H2BN",1.75283084862982
"PFDN1",1.7525638260369
"BRF1",1.75232475244374
"MBNL1",1.75209901578093
"SAA1",1.75195069334986
"KLHL2",1.75092277932099
"SLC37A3",1.74919405239908
"GLT8D1",1.74885740037323
"ROMO1",1.74840334250283
"AC105150.1",1.74757940296472
"TRNAU1AP",1.7470696700973
"HARS2",1.7468571449939
"TMEM68",1.74488776018275
"PPP1R14B-AS1",1.74470299339841
"PHIP",1.74307247171952
"LRRN1",1.74296588374103
"HIST1H1C",1.74294353699604
"RITA1",1.74165323921318
"IGHV3-13",1.74113477176746
"DDX46",1.74046516175206
"TMEM223",1.73981796858439
"SART3",1.73647024111253
"MRPL46",1.7363457397686
"PSMB8",1.73491854333809
"FAM193A",1.73387359167474
"OCIAD2",1.73201768320974
"TRBV30",1.73197372896663
"LPCAT3",1.72910047676492
"GNLY",1.7283302341238
"ZFR",1.72820589822657
"TBC1D2B",1.72689732323884
"KIF21B",1.72623131098508
"KLHDC2",1.72605572600476
"RNASEH1",1.72588685169105
"FADD",1.72539226113889
"TBL3",1.72505254848007
"UBOX5",1.72443077085229
"PRSS23",1.72362046468435
"KIAA0556",1.72338790486177
"RHNO1",1.72318116467228
"PBXIP1",1.72309885346494
"ASB8",1.72091176212662
"ZNF146",1.71907096640671
"KPNA5",1.7189944442533
"PET100",1.71873062471289
"SUV39H1",1.71825867716535
"TNS4",1.71668997390696
"KIF3C",1.71633966686768
"TXNDC9",1.71583274660167
"ZNF48",1.71414877094766
"LRMP",1.71346505216521
"METTL3",1.7134166656435
"STX2",1.71318303076507
"EVC",1.71296160411772
"ARFGAP2",1.71205001929328
"UBE2E3",1.71177834524587
"WDR18",1.71142994271827
"HECTD2",1.70981454385893
"ZNF142",1.70911234855017
"ZNF816",1.70806009894228
"PIGT",1.7069721745107
"PYCR3",1.70678551387627
"SPTBN1",1.70647853451535
"PPP2R5B",1.70625959082949
"MTERF3",1.70559143602609
"RABEP2",1.70395124306836
"SLC7A6OS",1.703365107499
"ZNF571-AS1",1.70233222783248
"S100A16",1.70148074571003
"ORAI2",1.7009219393737
"VPS72",1.69964835212544
"PHLDA3",1.69902836817936
"MSH2",1.6984339731648
"GAB3",1.69763408026547
"CTC1",1.69620308876231
