"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSL3",1260.37647422508,-0.0657549460596203,0.322700245427566,-0.203764784785017,0.838537313122862,0.975456118196208
"BCAT1",496.973556118879,0.105870767007793,0.519598500047715,0.203754951174938,0.83854499801025,0.975456118196208
"AC092652.3",7.96849435031504,-0.238593004868146,1.17099264771138,-0.203752777896991,0.838546696411608,0.975456118196208
"DCUN1D4",219.496114563462,-0.0794722666728983,0.390049571998143,-0.203749144668403,0.838549535755755,0.975456118196208
"PBXIP1",4855.73133334167,-0.0829328194843824,0.407430383904265,-0.203550895467505,0.838704469382426,0.975456118196208
"GEMIN8",193.219990417408,0.0754476573602533,0.371080535846841,0.203318821851097,0.838885845052894,0.975456118196208
"AC078795.1",36.1374133259955,0.112992778823389,0.555787761891464,0.203302027448123,0.838898970944755,0.975456118196208
"AC004000.1",4.39786345064652,-0.288386089916333,1.41852984164173,-0.203299276088948,0.838901121310852,NA
"MSC-AS1",117.303913974637,-0.134327070927207,0.660946029844658,-0.203234552991835,0.838951706966634,0.975456118196208
"EDDM13",6.88544353843026,0.250410648756827,1.23222365293908,0.203218505146815,0.838964249589963,NA
"NAT9",280.95281970357,0.0759707872859787,0.374103094492259,0.20307446905535,0.839076826687939,0.975456118196208
"POMZP3",647.68316166203,-0.0764360956839101,0.376518787088012,-0.203007388489337,0.839129257278618,0.975456118196208
"MRPL18",6036.53518022192,0.140055539189779,0.690067111026492,0.202959302003891,0.839166842416299,0.975456118196208
"AC007541.1",55.1348775807034,0.1110403092973,0.547117886209512,0.202954997626926,0.839170206801522,0.975456118196208
"AC073896.2",96.6792585996135,-0.0808054024753792,0.398209531995394,-0.202921818748211,0.839196140160691,0.975456118196208
"PNPLA8",2478.3274031072,0.0773431586514255,0.381189183956653,0.20289966742661,0.839213454229954,0.975456118196208
"AC104695.3",34.3874776561473,-0.145901609162113,0.719478847951918,-0.202787906242747,0.839300810966397,0.975456118196208
"RETREG2",572.416827619863,-0.0727608750699429,0.358870886734038,-0.202749450455887,0.839330869910788,0.975456118196208
"MTA2",682.90796680304,-0.0596348794013754,0.294262990679426,-0.202658442584587,0.839402007096268,0.975456118196208
"STS",32.2800955428538,0.120512636971554,0.594920390507069,0.202569350276997,0.839471648233694,0.975456118196208
"AP000926.2",12.4230008143707,0.185875624761079,0.917722265879859,0.202540171108164,0.839494457103579,0.975456118196208
"POU6F1",24.263946475034,-0.133237409976439,0.658238684062462,-0.202415040626503,0.839592271043557,0.975456118196208
"MXI1",728.679374689821,0.0755431350433232,0.373689437942497,0.202154857411163,0.839795663033409,0.975456118196208
"PLA1A",27.7353810957244,0.158129696692293,0.782647893393662,0.202044492839076,0.83988194112348,0.975456118196208
"AKAP12",297.534082733727,0.161648013182759,0.800441117390896,0.201948662644498,0.839956858447348,0.975456118196208
"AL139274.2",71.0155207259506,0.136324571334383,0.675078900755006,0.201938723283928,0.839964628840093,0.975456118196208
"SNX15",322.299955781056,0.0781112567070643,0.386875406399979,0.201902874710799,0.839992654665131,0.975456118196208
"SH3GL1",460.853320862172,-0.08781812238929,0.434969837072373,-0.201894740518935,0.839999013870822,0.975456118196208
"AC009093.2",37.1381756265775,0.141546104145974,0.701271859848204,0.201841984899569,0.840040257783244,0.975456118196208
"ALPK2",38.6059572503047,-0.156478189040074,0.775581224893882,-0.201756030210097,0.840107457398231,0.975456118196208
"AC005498.3",21.921688775032,-0.178727766326177,0.886304217495884,-0.201655100808551,0.840186365772281,0.975456118196208
"TMEM161B-AS1",264.828533317577,-0.103085618838358,0.511215361198067,-0.201648124572724,0.840191819974999,0.975456118196208
"ZNF561",238.270436875442,0.0740342913218566,0.367161750922358,0.20163944402126,0.840198606666748,0.975456118196208
