"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.09364674048218e-31,1.59988216497813,0.361,0.124,5.04841038532468e-27,"10","NCOA7"
2.42641574870246e-31,1.1986720652109,0.679,0.398,5.85081629484625e-27,"10","OSTF1"
2.81217024537594e-31,1.47078500481109,0.431,0.169,6.78098611267501e-27,"10","SLC4A7"
3.32872164927827e-31,1.21939470802304,0.599,0.288,8.02654651290469e-27,"10","DNPH1"
4.46562329761997e-31,1.67613232016102,0.343,0.115,1.0767957457551e-26,"10","LGALS8"
5.89923115056163e-31,1.43777420815061,0.464,0.191,1.42248160733493e-26,"10","TCF12"
7.56107352728942e-31,1.81794640682613,0.321,0.105,1.8232016596353e-26,"10","KIAA0930"
8.6143414422092e-31,1.43170681942152,0.493,0.219,2.0771761519599e-26,"10","GNB4"
9.38515615952412e-31,0.610122484525632,0.996,0.872,2.26304270474605e-26,"10","CTSB"
1.61409643216506e-30,0.826893262276205,0.905,0.733,3.8920707268796e-26,"10","ARPC5"
1.71308895868741e-30,1.63585042138256,0.391,0.145,4.13077140608295e-26,"10","SIGLEC7"
1.90321734616354e-30,1.15540857521546,0.613,0.302,4.58922798680416e-26,"10","ANKRD12"
2.35122129835047e-30,1.01731147038911,0.799,0.547,5.6694999167125e-26,"10","TLN1"
2.57677068900377e-30,1.75317941749681,0.307,0.097,6.21336716239478e-26,"10","ZNF217"
3.64820918573015e-30,1.5206570878329,0.391,0.145,8.79692680955111e-26,"10","TENT2"
4.08424837123102e-30,1.71237888637137,0.31,0.099,9.84834809754937e-26,"10","GATAD1"
4.47096696012591e-30,1.84789385702785,0.277,0.083,1.07808426309516e-25,"10","SUCLG2"
7.43579814114449e-30,1.32900150794582,0.449,0.179,1.79299400577417e-25,"10","AXL"
1.7199977589736e-29,1.61789561744326,0.343,0.118,4.14743059621304e-25,"10","P2RY13"
1.87236677387078e-29,1.47705140970742,0.412,0.161,4.51483800183461e-25,"10","FLI1"
