"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MRPL51",1553.61208352689,0.125580187411034,0.375909294915988,0.334070450264071,0.73832639762459,0.989978917624116
"ZNF295-AS1",18.4700713835866,-0.405772482772736,1.21470947904728,-0.334048996712359,0.738342586121303,0.989978917624116
"RPS4X",44671.0818324737,-0.116969054767526,0.350167766364493,-0.334037184467092,0.738351499496521,0.989978917624116
"AGO1",187.812453758445,0.102840402474026,0.308218758919568,0.333660426232729,0.738635815077896,0.990105550788546
"SRRM2",4829.02133305118,-0.0697424245389174,0.209060000533704,-0.333600039992698,0.738681388073795,0.990105550788546
"PLOD2",16.550349501709,-0.377351032583405,1.13133035163745,-0.333546282071579,0.738721959504682,0.990105550788546
"CCDC40",17.6523948103949,0.232227203944997,0.696333906287606,0.333499779126195,0.738757056147985,0.990105550788546
"LINC00402",25.4245637659178,-0.368935005855961,1.10635026361829,-0.333470346587498,0.73877926971712,0.990105550788546
"AC009237.14",8.36142857057321,0.34731075181789,1.04186052190912,0.333356283796484,0.738865358190066,NA
"PRR7-AS1",5.27378365552724,-0.482600461351034,1.45002626386017,-0.332821875975049,0.739268744112345,NA
"RNF6",800.776178242817,-0.0792262551185715,0.238194189968631,-0.332612038643785,0.739427154804235,0.99088442688374
"POLDIP2",498.618018868364,0.0822648072868332,0.247490097617095,0.332396358799411,0.739589987656868,0.990985646465088
"NEU1",8264.25010268613,-0.158187368204394,0.476083753651743,-0.332267940233283,0.739686945986498,0.990985646465088
"GPR101",6.36715657119762,-0.407219981017723,1.22583043156727,-0.332199275308477,0.739738790938645,NA
"AC004477.1",22.0425672274651,0.217381556484893,0.654484244466077,0.332141771666683,0.739782209555123,0.990985646465088
"MOV10",188.958614023821,0.206208262484622,0.620938673011491,0.332091189431853,0.739820402789649,0.990985646465088
"BOLA2",733.407026593849,0.153741104771808,0.463090414774399,0.331989390984708,0.739897269902195,0.990985646465088
"OBSCN",55.6410109086419,-0.151950201523178,0.458060812569428,-0.331724953005333,0.740096956833122,0.990985646465088
"IGSF21",61.7500221915551,-0.785035492866975,2.3672125629555,-0.331628644234148,0.740169687512423,0.990985646465088
"IGFLR1",1333.80401553372,-0.089490686173475,0.2698638043326,-0.331614261478282,0.740180549314448,0.990985646465088
"MT-CO1",162937.259734227,0.116923064541773,0.352692775148607,0.331515337938258,0.740255257395587,0.990985646465088
"KCNQ5",35.3643340597648,-0.269222502245869,0.812153163912899,-0.331492277822047,0.740272672986149,0.990985646465088
"SEC11A",2806.65798029268,0.103059717049527,0.310968547141659,0.331415244393122,0.740330851570398,0.990985646465088
"CCDC88B",465.207342798389,0.185177762102682,0.55894721525624,0.331297405279657,0.740419851038093,0.990985646465088
"AC145124.1",87.661165573853,0.179467980492523,0.541727774357141,0.331288128443284,0.740426857632608,0.990985646465088
"AC009951.6",17.8499066120932,-0.355410346600367,1.07285614506983,-0.331274932090019,0.740436824590835,0.990985646465088
"STON1",20.8872235760569,0.269456668296163,0.813798534592183,0.331109797870544,0.740561551054601,0.99101219419344
"SLC36A1",140.149601628301,0.170458340772164,0.515139071737458,0.330897713111225,0.74072174943192,0.99101219419344
"ASB16-AS1",100.707776117999,0.151493482632905,0.458020196463815,0.330757210713684,0.74082788421181,0.99101219419344
"RBM8A",5939.23910481878,0.100285372681196,0.303218826703393,0.330735969700503,0.740843929991874,0.99101219419344
"RILP",117.910264942377,-0.224399544983186,0.678489113819481,-0.330734186315759,0.740845277192598,0.99101219419344
"ZNF684",131.563459398028,0.107827420330549,0.326171487051443,0.330585059121193,0.740957933352829,0.99101219419344
"AC026124.2",10.833715967581,-0.315129415231887,0.953671014369177,-0.330438285827881,0.741068816712794,NA
"ZNF697",38.5389017671154,0.310905882484087,0.940905822314023,0.330432520567743,0.741073172324869,0.99101219419344
"BAX",1995.68589363834,0.10044831293431,0.304030570932322,0.33038885736484,0.741106159826265,0.99101219419344
"ZNF561",185.851487815447,0.0872605434433747,0.264175854339755,0.330312335551869,0.741163973118917,0.99101219419344
"GLIS3",57.1715206437128,0.424263129663377,1.28451306661855,0.330291018977517,0.741180078347195,0.99101219419344
"MTSS2",9.23659163384647,-0.323630637823713,0.980576282877523,-0.330041266013504,0.741368781675368,NA
"AC010618.3",69.4235860082637,0.124142285919645,0.376220552902179,0.329972100040806,0.741421043462655,0.99101219419344
"HLF",92.6835030177619,0.261544825804266,0.792721722701201,0.32993270944191,0.741450807519927,0.99101219419344
"PDZD8",976.562553446011,-0.0872358201394657,0.264490647210122,-0.329825727524354,0.741531646422966,0.99101219419344
"HSBP1",1586.15927535759,-0.104660194556009,0.317334171015852,-0.329810666846783,0.741543026973884,0.99101219419344
"NXPE3",281.020572106783,0.138725359654197,0.420645478210568,0.329791634143642,0.741557409053571,0.99101219419344
"SGPL1",291.201941048647,-0.136497416596303,0.413913073177702,-0.329773146686047,0.741571379204391,0.99101219419344
"MAGT1",715.825805744745,-0.0672590503999937,0.203983731820099,-0.329727521895286,0.741605856197377,0.99101219419344
"RPS7",44863.7249351822,-0.104202789942824,0.316350490768496,-0.329390321758909,0.741860682139509,0.99101219419344
"VAPA",3270.20797532229,-0.113778175931824,0.345442368402735,-0.3293694877612,0.741876427555018,0.99101219419344
"RPF1",609.859080349635,0.0801355772414327,0.243356813347665,0.329292515541568,0.741934600696727,0.99101219419344
"LINC01480",258.800729217872,0.213056122618714,0.647311712203496,0.329139916059073,0.742049934863845,0.99101219419344
"ZNF609",225.901495877851,-0.149265831609531,0.453526862458656,-0.329122360691784,0.742063203522018,0.99101219419344
"MTPN",3047.0626022985,-0.0879564130498203,0.267282087309287,-0.329077095795204,0.742097415887888,0.99101219419344
